0xE133,tau_psili,,τ᾽,,0xE7D1,tau_psili,57651,59345,1694,E133,E7D1,69E
0xE134,tau_epsilon,,τε,,0xE7D3,tau_epsilon,57652,59347,1695,E134,E7D3,69F
0xE135,tau_rho_2,,τρ,,0xE7E3,tau_rho_2,57653,59363,1710,E135,E7E3,6AE
0xE136,tau_tall_omega_sigma,,τοσ,,0xE7DF,tau_tall_omicron_sigma,57654,59359,1705,E136,E7DF,6A9
0xE137,tau_tau_tall,,ττ,,0xE7E4,tau_tall_tau,57655,59364,1709,E137,E7E4,6AD
0xE140,upsilon_dasia_iota,,υἱ,,0xE7F0,upsilon_dasia_iota,57664,59376,1712,E140,E7F0,6B0
0xE141,upsilon_nu,,υν,,0xE7F1,upsilon_nu,57665,59377,1712,E141,E7F1,6B0
0xE142,upsilon_oxia_nu,,ύν,,0xE7F2,upsilon_oxia_nu,57666,59378,1712,E142,E7F2,6B0
0xE143,upsilon_perispomeni_nu,,ῦν,,0xE7F3,upsilon_perispomeni_nu,57667,59379,1712,E143,E7F3,6B0
0xE144,upsilon_perispomeni,,ῦ,,0xE7F4,upsilon_perispomeni,57668,59380,1712,E144,E7F4,6B0
0xE145,upsilon_psili_perispomeni_nu,,ὖν,,0xE7F5,upsilon_psili_perispomeni_nu,57669,59381,1712,E145,E7F5,6B0
0xE160,chi_rho,,χρ,,0xE810,chi_rho,57696,59408,1712,E160,E810,6B0
0xE170,slant_1,,-,,0xE820,slant_1,57712,59424,1712,E170,E820,6B0
0xE171,slant_2,,-,,0xE821,slant_2,57713,59425,1712,E171,E821,6B0
0x02BC,apostrophe_1,ʼ,',ʼ,0x02BC,apostrophe_1,700,700,0,2BC,2BC,0
0x0357,apostrophe_2,͗,',͗,0x0357,apostrophe_2,855,855,0,357,357,0
0x0716,eta_nu_varia_2,,ὴν,,0x0716,eta_nu_varia_2,59158,59158,0,E716,E716,0
0x0730,modifier_ring_above,˚,ος,˚,0x0730,modifier_ring_above,730,730,0,2DA,2DA,0
0x0778,combining_ring_above,̊,ος,̊,0x0778,combining_ring_above,778,778,0,30A,30A,0
0x8128,omega_nu,῀,ων,῀,0x8128,omega_nu,8128,8128,0,1FC0,1FC0,0
0xE172,omega_perispomeni_nu,,ῶν,,0xE822,omega_perispomeni_nu,57714,59426,1712,E172,E822,6B0
0xE830,omega_final_sigma,,ως,,0xE830,omega_final_sigma,59440,59440,0,E830,E830,0
0xE173,,,,,0xE823,,57715,59427,1712,E173,E823,6B0
0xE040,epsilon_psili_perispomeni,,,,0xE6F0,epsilon_psili_perispomeni,57408,59120,1712,E040,E6F0,6B0
0xE041,epsilon_dasia_perispomeni,,,,0xE6F1,epsilon_dasia_perispomeni,57409,59121,1712,E041,E6F1,6B0
0xE0E6,omicron_perispomeni,,,,0xE790,omicron_perispomeni,57574,59280,1706,E0E6,E790,6AA
0xE0E0,omicron_psili_perispomeni,,,,0xE791,omicron_psili_perispomeni,57568,59281,1713,E0E0,E791,6B1
0xE0E5,omicron_dasia_perispomeni,,,,0xE792,omicron_dasia_perispomeni,57573,59282,1709,E0E5,E792,6AD
0xE824,alpha_nu_1,,αν,,0xE824,alpha_nu_1,59428,59428,0,E824,E824,0
0xE825,omicron_iota_perspomeni_sigma,,οῖσ,,0xE825,omicron_iota_perspomeni_sigma,59429,59429,0,E825,E825,0
0xE826,gamma_omicron2,,γο,,0xE826,gamma_omicron2,59430,59430,0,E826,E826,0
0xE827,iota_perispomeni_nu,,ῖν,,0xE827,iota_perispomeni_nu,59431,59431,0,E827,E827,0
0xE828,tau_alpha_iota_2,,ται,,0xE828,tau_alpha_iota_2,59432,59432,0,E828,E828,0
0xE82Α,epsilon_upsilon2,,ευ,,0xE82Α,epsilon_upsilon2,59434,59434,0,E82A,E82A,0
0xE82B,epsilon_iota_sigma,,εισ,,0xE82B,epsilon_iota_sigma,59435,59435,0,E82B,E82B,0
0xE830,omega_perispomeni_sigma,,ῶσ,,0xE830,omega_perispomeni_sigma,59440,59440,0,E830,E830,0
0xE831,tau-omicron_2,,το,,0xE831,tau-omicron_2,59441,59441,0,E831,E831,0
0xE832,upsilon_varia_nu,,ὺν,,0xE832,upsilon_varia_nu,59442,59442,0,E832,E832,0
0xE833,alpha_rho,,αρ,,0xE833,alpha_rho,59443,59443,0,E833,E833,0
0xE834,iota_nu,,ιν,,0xE834,iota_nu,59444,59444,0,E834,E834,0
0xE835,alpha_perispomeni_sigma,,ᾶσ,,0xE835,alpha_perispomeni_sigma,59445,59445,0,E835,E835,0
0xE836,upsilon_tonos,,ύ,,0xE836,upsilon_tonos,59446,59446,0,E836,E836,0
0xE837,alpha_nu_2,,αν,,0xE837,alpha_nu_2,59447,59447,0,E837,E837,0
0xE838,alpha_iota_perispomeni_sigma,,αῖσ,,0xE838,alpha_iota_perispomeni_sigma,59448,59448,0,E838,E838,0
0xE839,omicron_sigma_2,,οσ,,0xE839,omicron_sigma_2,59449,59449,0,E839,E839,0
0xE83A,omicron_iota_perspomeni_sigma2,,οῖσ,,0xE83A,omicron_iota_perspomeni_sigma2,59450,59450,0,E83A,E83A,0
0xE83B,alpha_sigma_2,,άσ,,0xE83B,alpha_sigma_2,59451,59451,0,E83B,E83B,0
0xE83C,epsilon_nu,,εν,,0xE83C,epsilon_nu,59452,59452,0,E83C,E83C,0
0xE83D,epsilon_nu_2,,εν,,0xE83D,epsilon_nu_2,59453,59453,0,E83D,E83D,0
