NoDiaWord	Strong	RMAC	Lemma
γενομενων	G1096	V-2ADP-GPM	γίνομαι
εισηει	G1524	V-LAI-3S	εἴσειμι
εξηγειτο	G1834	V-INI-3S	ἐξηγέομαι
εκαστον	G1538	A-ASN	ἕκαστος
θεωρεις	G2334	V-PAI-2S	θεωρέω
ποσαι	G4214	Q-NPF	πόσος
μυριαδες	G3461	A-NPM	μυρίας
ζηλωται	G2207	N-NPM	ζηλωτής
υπαρχουσι	G5225	V-PAI-3P	ὑπάρχω
κατηχηθησαν	G2727	V-API-3P	κατηχέω
αποστασιαν	G646	N-ASF	ἀποστασία
εθεσι	G1485	N-DPN	ἔθος
τεσσαρες	G5064	A-NPM	τέσσαρες
αγνισθητι	G48	V-APM-2S	ἁγνίζω
δαπανησον	G1159	V-AAM-2S	δαπανάω
ξυρησωνται	G3587	V-ADS-3P	ξυράω
γνωσι	G1097	V-2AAS-3P	γινώσκω
κατηχηνται	G2727	V-RPI-3P	κατηχέω
στοιχεις	G4748	V-PAI-2S	στοιχέω
φυλασσων	G5442	V-PAP-NSM	φυλάσσω
επεστειλαμεν	G1989	V-AAI-1P	ἐπιστέλλω
φυλασσεσθαι	G5442	V-PMN	φυλάσσω
ειδωλοθυτον	G1494	A-ASN	εἰδωλόθυτον
πνικτον	G4156	A-ASN	πνικτός
πορνειαν	G4202	N-ASF	πορνεία
αγνισθεις	G48	V-APP-NSM	ἁγνίζω
διαγγελλων	G1229	V-PAP-NSM	διαγγέλλω
εκπληρωσιν	G1604	N-ASF	ἐκπλήρωσις
αγνισμου	G49	N-GSM	ἁγνισμός
προσφορα	G4376	N-NSF	προσφορά
συνεχεον	G4797	V-IAI-3P	συγχέω
βοηθειτε	G997	V-PAM-2P	βοηθέω
εισηγαγεν	G1521	V-2AAI-3S	εἰσάγω
κεκοινωκε	G2840	V-RAI-3S	κοινόω
προεωρακοτες	G4308	V-RAP-NPM	προοράω
τροφιμον	G5161	N-ASM	Τρόφιμος
εφεσιον	G2180	A-ASM	Ἐφέσιος
ενομιζον	G3543	V-IAI-3P	νομίζω
εκινηθη	G2795	V-API-3S	κινέω
συνδρομη	G4890	N-NSF	συνδρομή
ειλκον	G1670	V-IAI-3P	ἑλκύω
εκλεισθησαν	G2808	V-API-3P	κλείω
ζητουντων	G2212	V-PAP-GPM	ζητέω
φασις	G5334	N-NSF	φάσις
χιλιαρχω	G5506	N-DSM	χιλίαρχος
συγκεχυται	G4797	V-RPI-3S	συγχέω
εκατονταρχους	G1543	N-APM	ἑκατοντάρχης
κατεδραμεν	G2701	V-2AAI-3S	κατατρέχω
χιλιαρχον	G5506	N-ASM	χιλίαρχος
πεποιηκως	G4160	V-RAP-NSM	ποιέω
αλλο	G243	A-ASN	ἄλλος
εβοων	G994	V-IAI-3P	βοάω
ασφαλες	G804	A-ASN	ἀσφαλής
αγεσθαι	G71	V-PPN	ἄγω
παρεμβολην	G3925	N-ASF	παρεμβολή
αναβαθμους	G304	N-APM	ἀναβαθμός
συνεβη	G4819	V-2AAI-3S	συμβαίνω
βασταζεσθαι	G941	V-PPN	βαστάζω
βιαν	G970	N-ASF	βία
κραζον	G2896	V-PAP-ASN	κράζω
εισαγεσθαι	G1521	V-PPN	εἰσάγω
αιγυπτιος	G124	A-NSM	Αἰγύπτιος
αναστατωσας	G387	V-AAP-NSM	ἀναστατόω
σικαριων	G4607	N-GPM	σικάριος
ταρσευς	G5018	N-NSM	Ταρσεύς
ασημου	G767	A-GSF	ἄσημος
πολιτης	G4177	N-NSM	πολίτης
επιτρεψαντος	G2010	V-AAP-GSM	ἐπιτρέπω
αναβαθμων	G304	N-GPM	ἀναβαθμός
κατεσεισε	G2678	V-AAI-3S	κατασείω
σιγης	G4602	N-GSF	σιγή
εβραιδι	G1446	N-DSF	Ἑβραΐς
απολογιας	G627	N-GSF	ἀπολογία
προσεφωνει	G4377	V-IAI-3S	προσφωνέω
παρεσχον	G3930	V-2AAI-3P	παρέχω
ησυχιαν	G2271	N-ASF	ἡσυχία
ταρσω	G5019	N-DSF	Ταρσός
ανατεθραμμενος	G397	V-RPP-NSM	ἀνατρέφω
πεπαιδευμενος	G3811	V-RPP-NSM	παιδεύω
ακριβειαν	G195	N-ASF	ἀκρίβεια
πατρωου	G3971	A-GSM	πατρῷος
εδιωξα	G1377	V-AAI-1S	διώκω
δεσμευων	G1195	V-PAP-NSM	δεσμεύω
επορευομην	G4198	V-INI-1S	πορεύομαι
αξων	G71	V-FAP-NSM	ἄγω
τιμωρηθωσιν	G5097	V-APS-3P	τιμωρέω
πορευομενω	G4198	V-PNP-DSM	πορεύομαι
εγγιζοντι	G1448	V-PAP-DSM	ἐγγίζω
περιαστραψαι	G4015	V-AAN	περιαστράπτω
επεσον	G4098	V-2AAI-1S	πίπτω
εδαφος	G1475	N-ASN	ἔδαφος
απεκριθην	G611	V-ADI-1S	ἀποκρίνομαι
τετακται	G5021	V-RPI-3S	τάσσω
ενεβλεπον	G1689	V-IAI-3P	ἐμβλέπω
χειραγωγουμενος	G5496	V-PPP-NSM	χειραγωγέω
συνοντων	G4895	V-PXP-GPM	σύνειμι
κατοικουντων	G2730	V-PAP-GPM	κατοικέω
προεχειρισατο	G4400	V-ADI-3S	προχειρίζομαι
μαρτυς	G3144	N-NSM	μάρτυς
βαπτισαι	G907	V-AMM-2S	βαπτίζω
απολουσαι	G628	V-AMM-2S	ἀπολούω
επικαλεσαμενος	G1941	V-AMP-NSM	ἐπικαλέομαι
υποστρεψαντι	G5290	V-AAP-DSM	ὑποστρέφω
σπευσον	G4692	V-AAM-2S	σπεύδω
παραδεξονται	G3858	V-FNI-3P	παραδέχομαι
επιστανται	G1987	V-PNI-3P	ἐπίσταμαι
φυλακιζων	G5439	V-PAP-NSM	φυλακίζω
δερων	G1194	V-PAP-NSM	δέρω
πιστευοντας	G4100	V-PAP-APM	πιστεύω
εξεχειτο	G1632	V-IPI-3S	ἐκχέω
στεφανου	G4736	N-GSM	Στέφανος
μαρτυρος	G3144	N-GSM	μάρτυς
εφεστως	G2186	V-RAP-NSM	ἐφίστημι
αναιρουντων	G337	V-PAP-GPM	ἀναιρέω
εξαποστελω	G1821	V-FAI-1S	ἐξαποστέλλω
τοιουτον	G5108	D-ASM	τοιοῦτος
καθηκον	G2520	V-PQP-NSN	καθήκω
κραυγαζοντων	G2905	V-PAP-GPM	κραυγάζω
ριπτουντων	G4495	V-PAP-GPM	ῥιπτέω
βαλλοντων	G906	V-PAP-GPM	βάλλω
αερα	G109	N-ASM	ἀήρ
μαστιξιν	G3148	N-DPF	μάστιξ
ανεταζεσθαι	G426	V-PPN	ἀνετάζω
επιγνω	G1921	V-2AAS-3S	ἐπιγινώσκω
προετεινεν	G4385	V-AAI-3S	προτείνω
ιμασιν	G2438	N-DPM	ἱμάς
εκατονταρχον	G1543	N-ASM	ἑκατοντάρχης
ρωμαιον	G4514	A-ASM	Ῥωμαῖος
ακατακριτον	G178	A-ASM	ἀκατάκριτος
μαστιζειν	G3147	V-PAN	μαστίζω
ρωμαιος	G4514	A-NSM	Ῥωμαῖος
λεγε	G3004	V-PAM-2S	λέγω
κεφαλαιου	G2774	N-GSN	κεφάλαιον
πολιτειαν	G4174	N-ASF	πολιτεία
εκτησαμην	G2932	V-ADI-1S	κτάομαι
απεστησαν	G868	V-2AAI-3P	ἀφίστημι
ανεταζειν	G426	V-PAN	ἀνετάζω
δεδεκως	G1210	V-RAP-NSM	δέω
κατηγορειται	G2723	V-PPI-3S	κατηγορέω
ελυσεν	G3089	V-AAI-3S	λύω
δεσμων	G1199	N-GPM	δεσμόν
καταγαγων	G2609	V-2AAP-NSM	κατάγω
συνειδησει	G4893	N-DSF	συνείδησις
πεπολιτευμαι	G4176	V-RPI-1S	πολιτεύομαι
επεταξε	G2004	V-AAI-3S	ἐπιτάσσω
τοιχε	G5109	N-VSM	τοῖχος
κεκονιαμενε	G2867	V-RPP-VSM	κονιάω
καθη	G2521	V-PNI-2S-ATT	κάθημαι
παρανομων	G3891	V-PAP-NSM	παρανομέω
κελευεις	G2753	V-PAI-2S	κελεύω
τυπτεσθαι	G5180	V-PPN	τύπτω
λοιδορεις	G3058	V-PAI-2S	λοιδορέω
ελπιδος	G1680	N-GSF	ἐλπίς
κρινομαι	G2919	V-PPI-1S	κρίνω
λαλησαντος	G2980	V-AAP-GSM	λαλέω
στασις	G4714	N-NSF	στάσις
ομολογουσι	G3670	V-PAI-3P	ὁμολογέω
μερους	G3313	N-GSN	μέρος
διεμαχοντο	G1264	V-INI-3P	διαμάχομαι
ευρισκομεν	G2147	V-PAI-1P	εὑρίσκω
θεομαχωμεν	G2313	V-PAS-1P	θεομαχέω
ευλαβηθεις	G2125	V-APP-NSM	εὐλαβέομαι
διασπασθη	G1288	V-APS-3S	διασπάω
στρατευμα	G4753	N-ASN	στράτευμα
καταβαν	G2597	V-2AAP-ASN	καταβαίνω
αρπασαι	G726	V-AAN	ἁρπάζω
αγειν	G71	V-PAN	ἄγω
παυλε	G3972	N-VSM	Παῦλος
διεμαρτυρω	G1263	V-ADI-2S	διαμαρτύρομαι
μαρτυρησαι	G3140	V-AAN	μαρτυρέω
συστροφην	G4963	N-ASF	συστροφή
ανεθεματισαν	G332	V-AAI-3P	ἀναθεματίζω
αποκτεινωσι	G615	V-PAS-3P	ἀποκτείνω
συνωμοσιαν	G4945	N-ASF	συνωμοσία
αναθεματι	G331	N-DSN	ἀνάθεμα
ανεθεματισαμεν	G332	V-AAI-1P	ἀναθεματίζω
εμφανισατε	G1718	V-AAM-2P	ἐμφανίζω
καταγαγη	G2609	V-2AAS-3S	κατάγω
διαγινωσκειν	G1231	V-PAN	διαγινώσκω
εγγισαι	G1448	V-AAN	ἐγγίζω
ενεδρον	G1749	N-ASN	ἔνεδρον
εκατονταρχων	G1543	N-GPM	ἑκατοντάρχης
νεανιαν	G3494	N-ASM	νεανίας
απαγαγε	G520	V-2AAM-2S	ἀπάγω
δεσμιος	G1198	N-NSM	δέσμιος
αναχωρησας	G402	V-AAP-NSM	ἀναχωρέω
καταγαγης	G2609	V-2AAS-2S	κατάγω
πυνθανεσθαι	G4441	V-PNN	πυνθάνομαι
πεισθης	G3982	V-APS-2S	πείθω
ενεδρευουσι	G1748	V-PAI-3P	ἐνεδρεύω
προσδεχομενοι	G4327	V-PNP-NPM	προσδέχομαι
εκλαλησαι	G1583	V-AAN	ἐκλαλέω
ενεφανισας	G1718	V-AAI-2S	ἐμφανίζω
διακοσιους	G1250	A-APM	διακόσιοι
πορευθωσιν	G4198	V-AOS-3P	πορεύομαι
ιππεις	G2460	N-APM	ἱππεύς
δεξιολαβους	G1187	N-APM	δεξιολάβος
κτηνη	G2934	N-APN	κτῆνος
επιβιβασαντες	G1913	V-AAP-NPM	ἐπιβιβάζω
διασωσωσι	G1295	V-AAS-3P	διασώζω
φηλικα	G5344	N-ASM	Φῆλιξ
περιεχουσαν	G4023	V-PAP-ASF	περιέχω
κλαυδιος	G2804	N-NSM	Κλαύδιος
λυσιας	G3079	N-NSM	Λυσίας
κρατιστω	G2903	A-DSM	κράτιστος
φηλικι	G5344	N-DSM	Φῆλιξ
συλληφθεντα	G4815	V-APP-ASM	συλλαμβάνω
αναιρεισθαι	G337	V-PPN	ἀναιρέω
στρατευματι	G4753	N-DSN	στράτευμα
εξειλομην	G1807	V-2AMI-1S	ἐξαιρέω
ενεκαλουν	G1458	V-IAI-3P	ἐγκαλέω
κατηγαγον	G2609	V-2AAI-1S	κατάγω
εγκαλουμενον	G1458	V-PPP-ASM	ἐγκαλέω
ζητηματων	G2213	N-GPN	ζήτημα
αξιον	G514	A-ASN	ἄξιος
εγκλημα	G1462	N-ASN	ἔγκλημα
μηνυθεισης	G3377	V-APP-GSF	μηνύω
κατηγοροις	G2725	N-DPM	κατήγορος
ερρωσο	G4517	V-RPM-2S	ῥώννυμι
αντιπατριδα	G494	N-ASF	Ἀντιπατρίς
εασαντες	G1439	V-AAP-NPM	ἐάω
αναδοντες	G325	V-2AAP-NPM	ἀναδίδωμι
αναγνους	G314	V-2AAP-NSM	ἀναγινώσκω
επερωτησας	G1905	V-AAP-NSM	ἐπερωτάω
επαρχιας	G1885	N-GSF	ἐπαρχία
πυθομενος	G4441	V-2ADP-NSM	πυνθάνομαι
διακουσομαι	G1251	V-FDI-1S	διακούομαι
παραγενωνται	G3854	V-2ADS-3P	παραγίνομαι
πραιτωριω	G4232	N-DSN	πραιτώριον
ρητορος	G4489	N-GSM	ῥήτωρ
τερτυλλου	G5061	N-GSM	Τέρτυλλος
ενεφανισαν	G1718	V-AAI-3P	ἐμφανίζω
κληθεντος	G2564	V-APP-GSM	καλέω
τερτυλλος	G5061	N-NSM	Τέρτυλλος
τυγχανοντες	G5177	V-PAP-NPM	τυγχάνω
κατορθωματων	G2735	N-GPN	κατόρθωμα
γινομενων	G1096	V-PNP-GPN	γίνομαι
προνοιας	G4307	N-GSF	πρόνοια
παντη	G3839	ADV	πάντη
αποδεχομεθα	G588	V-PNI-1P	ἀποδέχομαι
φηλιξ	G5344	N-VSM	Φῆλιξ
ευχαριστιας	G2169	N-GSF	εὐχαριστία
εγκοπτω	G1465	V-PAS-1S	ἐγκόπτω
παρακαλω	G3870	V-PAI-1S	παρακαλέω
συντομως	G4935	ADV	συντόμως
επιεικεια	G1932	N-DSF	ἐπιείκεια
λοιμον	G3061	N-ASM	λοίμος
κινουντα	G2795	V-PAP-ASM	κινέω
πρωτοστατην	G4414	N-ASM	πρωτοστάτης
ναζωραιων	G3480	N-GPM	Ναζωραῖος
επειρασε	G3985	V-IAI-3S	πειράζω
βεβηλωσαι	G953	V-AAN	βεβηλόω
εκρατησαμεν	G2902	V-AAI-1P	κρατέω
ημετερον	G2251	S-1APM	ἡμέτερος
ηθελησαμεν	G2309	V-AAI-1P	θέλω
απηγαγε	G520	V-2AAI-3S	ἀπάγω
κατηγορους	G2725	N-APM	κατήγορος
κατηγορουμεν	G2723	V-PAI-1P	κατηγορέω
φασκοντες	G5335	V-PAP-NPM	φάσκω
νευσαντος	G3506	V-AAP-GSM	νεύω
ευθυμοτερον	G2115	ADV	εὔθυμος
απολογουμαι	G626	V-PNI-1S	ἀπολογέομαι
δυναμενου	G1410	V-PNP-GSM	δύναμαι
πλειους	G4119	A-NPF-C	πλείων
ανεβην	G305	V-2AAI-1S	ἀναβαίνω
διαλεγομενον	G1256	V-PNP-ASM	διαλέγομαι
επισυστασιν	G1999	N-ASF	ἐπισύστασις
κατηγορουσι	G2723	V-PAI-3P	κατηγορέω
ομολογω	G3670	V-PAI-1S	ὁμολογέω
αιρεσιν	G139	N-ASF	αἵρεσις
λατρευω	G3000	V-PAI-1S	λατρεύω
πατρωω	G3971	A-DSM	πατρῷος
γεγραμμενοις	G1125	V-RPP-DPN	γράφω
ελπιδα	G1680	N-ASF	ἐλπίς
προσδεχονται	G4327	V-PNI-3P	προσδέχομαι
αδικων	G94	A-GPM	ἄδικος
ασκω	G778	V-PAI-1S-C	ἀσκέω
απροσκοπον	G677	A-ASF	ἀπρόσκοπος
συνειδησιν	G4893	N-ASF	συνείδησις
ποιησων	G4160	V-FAP-NSM	ποιέω
προσφορας	G4376	N-APF	προσφορά
ηγνισμενον	G48	V-RPP-ASM	ἁγνίζω
θορυβου	G2351	N-GSM	θόρυβος
παρειναι	G3918	V-PXN	πάρειμι
εχοιεν	G2192	V-PAO-3P	ἔχω
ειπατωσαν	G2036	V-2AAM-3P	ἔπω
αδικημα	G92	N-ASN	ἀδίκημα
σταντος	G2476	V-2AAP-GSM	ἵστημι
εκραξα	G2896	V-AAI-1S	κράζω
φηλιξ	G5344	N-NSM	Φῆλιξ
ανεβαλετο	G306	V-2AMI-3S	ἀναβάλλομαι
διαγνωσομαι	G1231	V-FDI-1S	διαγινώσκω
διαταξαμενος	G1299	V-AMP-NSM	διατάσσω
εκατονταρχη	G1543	N-DSM	ἑκατοντάρχης
τηρεισθαι	G5083	V-PPN	τηρέω
ανεσιν	G425	N-ASF	ἄνεσις
κωλυειν	G2967	V-PAN	κωλύω
ιδιων	G2398	A-GPM	ἴδιος
υπηρετειν	G5256	V-PAN	ὑπηρετέω
δρουσιλλη	G1409	N-DSF	Δρούσιλλα
ιουδαια	G2453	A-DSF	Ἰουδαῖος
μετεπεμψατο	G3343	V-ADI-3S	μεταπέμπω
εγκρατειας	G1466	N-GSF	ἐγκράτεια
κριματος	G2917	N-GSN	κρίμα
μελλοντος	G3195	V-PAP-GSN	μέλλω
μεταλαβων	G3335	V-2AAP-NSM	μεταλαμβάνω
μετακαλεσομαι	G3333	V-FMI-1S	μετακαλέω
ελπιζων	G1679	V-PAP-NSM	ἐλπίζω
πυκνοτερον	G4437	A-ASN-C	πυκνός
μεταπεμπομενος	G3343	V-PNP-NSM	μεταπέμπω
ωμιλει	G3656	V-IAI-3S	ὁμιλέω
διετιας	G1333	N-GSF	διετία
πληρωθεισης	G4137	V-APP-GSF	πληρόω
διαδοχον	G1240	N-ASM	διάδοχος
πορκιον	G4201	N-ASM	Πόρκιος
φηστον	G5347	N-ASM	Φῆστος
χαριτας	G5485	N-APF	χάρις
καταθεσθαι	G2698	V-2AMN	κατατίθημι
φηστος	G5347	N-NSM	Φῆστος
επιβας	G1910	V-2AAP-NSM	ἐπιβαίνω
επαρχια	G1885	N-DSF	ἐπαρχία
μεταπεμψηται	G3343	V-ADS-3S	μεταπέμπω
ενεδραν	G1747	N-ASF	ἐνέδρα
εκπορευεσθαι	G1607	V-PNN	ἐκπορεύομαι
δυνατοι	G1415	A-NPM	δυνατός
συγκαταβαντες	G4782	V-2AAP-NPM	συγκαταβαίνω
κατηγορειτωσαν	G2723	V-PAM-3P	κατηγορέω
διατριψας	G1304	V-AAP-NSM	διατρίβω
παραγενομενου	G3854	V-2ADP-GSM	παραγίνομαι
περιεστησαν	G4026	V-2AAI-3P	περιίστημι
καταβεβηκοτες	G2597	V-RAP-NPM	καταβαίνω
αιτιαματα	G157	N-APN	αἰτίαμα
αποδειξαι	G584	V-AAN	ἀποδείκνυμι
απολογουμενου	G626	V-PNP-GSM	ἀπολογέομαι
κρινεσθαι	G2919	V-PPN	κρίνω
ηδικησα	G91	V-AAI-1S	ἀδικέω
καλλιον	G2566	ADV-C	καλλίον
επιγινωσκεις	G1921	V-PAI-2S	ἐπιγινώσκω
πεπραχα	G4238	V-RAI-1S	πράσσω
παραιτουμαι	G3868	V-PNI-1S	παραιτέομαι
χαρισασθαι	G5483	V-ADN	χαρίζομαι
επικαλουμαι	G1941	V-PMI-1S	ἐπικαλέομαι
συλλαλησας	G4814	V-AAP-NSM	συλλαλέω
συμβουλιου	G4824	N-GSN	συμβούλιον
επικεκλησαι	G1941	V-RMI-2S	ἐπικαλέομαι
πορευση	G4198	V-FDI-2S	πορεύομαι
διαγενομενων	G1230	V-2ADP-GPF	διαγίνομαι
τινων	G5100	X-GPF	τίς
αγριππας	G67	N-NSM	Ἀγρίππας
βερνικη	G959	N-NSF	Βερνίκη
κατηντησαν	G2658	V-AAI-3P	καταντάω
ασπασομενοι	G782	V-FDP-NPM	ἀσπάζομαι
ανεθετο	G394	V-2AMI-3S	ἀνατίθεμαι
καταλελειμμενος	G2641	V-RPP-NSM	καταλείπω
φηλικος	G5344	N-GSM	Φῆλιξ
δικην	G1349	N-ASF	δίκη
χαριζεσθαι	G5483	V-PNN	χαρίζομαι
κατηγορουμενος	G2723	V-PPP-NSM	κατηγορέω
εγκληματος	G1462	N-GSN	ἔγκλημα
αναβολην	G311	N-ASF	ἀναβολή
ποιησαμενος	G4160	V-AMP-NSM	ποιέω
εκελευσα	G2753	V-AAI-1S	κελεύω
επεφερον	G2018	V-IAI-2P	ἐπιφέρω
υπενοουν	G5282	V-IAI-1S	ὑπονοέω
ζητηματα	G2213	N-APN	ζήτημα
ιδιας	G2398	A-GSF	ἴδιος
δεισιδαιμονιας	G1175	N-GSF	δεισιδαιμονία
εφασκεν	G5335	V-IAI-3S	φάσκω
απορουμενος	G639	V-PMP-NSM	ἀπορέω
ζητησιν	G2214	N-ASF	ζήτησις
ελεγον	G3004	V-IAI-1S	λέγω
βουλοιτο	G1014	V-PNO-3S	βούλομαι
επικαλεσαμενου	G1941	V-AMP-GSM	ἐπικαλέομαι
τηρηθηναι	G5083	V-APN	τηρέω
σεβαστου	G4575	A-GSM	σεβαστός
διαγνωσιν	G1233	N-ASF	διάγνωσις
εβουλομην	G1014	V-INI-1S	βούλομαι
ακουση	G191	V-FDI-2S	ἀκούω
αγριππα	G67	N-GSM	Ἀγρίππας
βερνικης	G959	N-GSF	Βερνίκη
φαντασιας	G5325	N-GSF	φαντασία
ακροατηριον	G201	N-ASN	ἀκροατήριον
ανδρασι	G435	N-DPM	ἀνήρ
εξοχην	G1851	N-ASF	ἐξοχή
κελευσαντος	G2753	V-AAP-GSM	κελεύω
φηστου	G5347	N-GSM	Φῆστος
αγριππα	G67	N-VSM	Ἀγρίππας
συμπαροντες	G4840	V-PXP-NPM	συμπάρειμι
ενετυχον	G1793	V-2AAI-3P	ἐντυγχάνω
επιβοωντες	G1916	V-PAP-NPM	ἐπιβοάω
καταλαβομενος	G2638	V-2AMP-NSM	καταλαμβάνω
πεπραχεναι	G4238	V-RAN	πράσσω
σεβαστον	G4575	A-ASM	σεβαστός
εκρινα	G2919	V-AAI-1S	κρίνω
πεμπειν	G3992	V-PAN	πέμπω
προηγαγον	G4254	V-2AAI-1S	προάγω
ανακρισεως	G351	N-GSF	ἀνάκρισις
σχω	G2192	V-2AAS-1S	ἔχω
αλογον	G249	A-NSN	ἄλογος
πεμποντα	G3992	V-PAP-ASM	πέμπω
σημαναι	G4591	V-AAN	σημαίνω
επιτρεπεται	G2010	V-PPI-3S	ἐπιτρέπω
απελογειτο	G626	V-INI-3S	ἀπολογέομαι
εγκαλουμαι	G1458	V-PPI-1S	ἐγκαλέω
ηγημαι	G2233	V-RNI-1S	ἡγέομαι
μακαριον	G3107	A-ASM	μακάριος
γνωστην	G1109	N-ASM	γνώστης
εθων	G1485	N-GPN	ἔθος
μακροθυμως	G3116	ADV	μακροθυμώς
βιωσιν	G981	N-ASF	βίωσις
ισασι	G2467	V-RAI-3P	ἴσημι
προγινωσκοντες	G4267	V-PAP-NPM	προγινώσκω
θελωσι	G2309	V-PAS-3P	θέλω
μαρτυρειν	G3140	V-PAN	μαρτυρέω
ακριβεστατην	G196	A-ASF-S	ἀκριβέστατος
ημετερας	G2251	S-1GPF	ἡμέτερος
θρησκειας	G2356	N-GSF	θρησκεία
εζησα	G2198	V-AAI-1S	ζάω
εστηκα	G2476	V-RAI-1S	ἵστημι
κρινομενος	G2919	V-PPP-NSM	κρίνω
δωδεκαφυλον	G1429	N-NSN	δωδεκάφυλον
εκτενεια	G1616	N-DSF	ἐκτένεια
λατρευον	G3000	V-PAP-NSN	λατρεύω
ελπιζει	G1679	V-PAI-3S	ἐλπίζω
καταντησαι	G2658	V-AAN	καταντάω
απιστον	G571	A-ASM	ἄπιστος
εδοξα	G1380	V-AAI-1S	δοκέω
εναντια	G1727	A-APN	ἐναντίος
πραξαι	G4238	V-AAN	πράσσω
φυλακαις	G5438	N-DPF	φυλακή
κατεκλεισα	G2623	V-AAI-1S	κατακλείω
αναιρουμενων	G337	V-PPP-GPM	ἀναιρέω
κατηνεγκα	G2702	V-AAI-1S	καταφέρω
ψηφον	G5586	N-ASF	ψῆφος
τιμωρων	G5097	V-PAP-NSM	τιμωρέω
ηναγκαζον	G315	V-IAI-1S	ἀναγκάζω
βλασφημειν	G987	V-PAN	βλασφημέω
εμμαινομενος	G1693	V-PNP-NSM	ἐμμαίνομαι
εδιωκον	G1377	V-IAI-1S	διώκω
επιτροπης	G2011	N-GSF	ἐπιτροπή
λαμπροτητα	G2987	N-ASF	λαμπρότης
περιλαμψαν	G4034	V-AAP-ASN	περιλάμπω
πορευομενους	G4198	V-PNP-APM	πορεύομαι
καταπεσοντων	G2667	V-2AAP-GPM	καταπίπτω
λαλουσαν	G2980	V-PAP-ASF	λαλέω
ωφθην	G3700	V-API-1S	ὀπτάνομαι
προχειρισασθαι	G4400	V-ADN	προχειρίζομαι
ειδες	G1492	V-2AAI-2S	εἴδω
οφθησομαι	G3700	V-FPI-1S	ὀπτάνομαι
εξαιρουμενος	G1807	V-PMP-NSM	ἐξαιρέω
ανοιξαι	G455	V-AAN	ἀνοίγω
απειθης	G545	A-NSM	ἀπειθής
ουρανιω	G3770	A-DSF	οὐράνιος
οπτασια	G3701	N-DSF	ὀπτασία
απαγγελλων	G518	V-PAP-NSM	ἀπαγγέλλω
πρασσοντας	G4238	V-PAP-APM	πράσσω
συλλαβομενοι	G4815	V-2AMP-NPM	συλλαμβάνω
επειρωντο	G3987	V-INI-3P	πειράω
διαχειρισασθαι	G1315	V-AMN	διαχειρίζομαι
επικουριας	G1947	N-GSF	ἐπικουρία
τυχων	G5177	V-2AAP-NSM	τυγχάνω
μικρω	G3398	A-DSM	μικρός
μελλοντων	G3195	V-PAP-GPN	μέλλω
παθητος	G3805	A-NSM	παθητός
γραμματα	G1121	N-NPN	γράμμα
μανιαν	G3130	N-ASF	μανία
περιτρεπει	G4062	V-PAI-3S	περιτρέπω
μαινομαι	G3105	V-PNI-1S	μαίνομαι
φηστε	G5347	N-VSM	Φῆστος
σωφροσυνης	G4997	N-GSF	σωφροσύνη
αποφθεγγομαι	G669	V-PNI-1S	ἀποφθέγγομαι
επισταται	G1987	V-PNI-3S	ἐπίσταμαι
λανθανειν	G2990	V-PAN	λανθάνω
πειθομαι	G3982	V-PPI-1S	πείθω
γωνια	G1137	N-DSF	γωνία
ολιγω	G3641	A-DSN	ὀλίγος
πειθεις	G3982	V-PAI-2S	πείθω
χριστιανον	G5546	N-ASM	Χριστιανός
ευξαιμην	G2172	V-ADO-1S	εὔχομαι
οποιος	G3697	A-NSN	ὁποῖος
συγκαθημενοι	G4775	V-PNP-NPM	συγκάθημαι
αναχωρησαντες	G402	V-AAP-NPM	ἀναχωρέω
πρασσει	G4238	V-PAI-3S	πράσσω
φηστω	G5347	N-DSM	Φῆστος
απολελυσθαι	G630	V-RPN	ἀπολύω
επεκεκλητο	G1941	V-LDI-3S	ἐπικαλέομαι
εκριθη	G2919	V-API-3S	κρίνω
αποπλειν	G636	V-PAN	ἀποπλέω
ιταλιαν	G2482	N-ASF	Ἰταλία
δεσμωτας	G1202	N-APM	δεσμώτης
ιουλιω	G2457	N-DSM	Ἰούλιος
σεβαστης	G4575	A-GSF	σεβαστός
αδραμυττηνω	G98	A-DSN	Ἀδραμυττηνός
πλειν	G4126	V-PAN	πλέω
αρισταρχου	G708	N-GSM	Ἀρίσταρχος
μακεδονος	G3110	N-GSM	Μακεδών
θεσσαλονικεως	G2331	N-GSM	Θεσσαλονικεύς
φιλανθρωπως	G5364	ADV	φιλανθρώπως
ιουλιος	G2457	N-NSM	Ἰούλιος
χρησαμενος	G5530	V-ADP-NSM	χράομαι
πορευθεντα	G4198	V-AOP-ASM	πορεύομαι
επιμελειας	G1958	N-GSF	ἐπιμέλεια
υπεπλευσαμεν	G5284	V-AAI-1P	ὑποπλέω
ανεμους	G417	N-APM	ἄνεμος
εναντιους	G1727	A-APM	ἐναντίος
πελαγος	G3989	N-ASN	πέλαγος
διαπλευσαντες	G1277	V-AAP-NPM	διαπλέω
κατηλθομεν	G2718	V-2AAI-1P	κατέρχομαι
μυρα	G3460	N-APN	Μύρα
λυκιας	G3073	N-GSF	Λυκία
αλεξανδρινον	G222	A-ASN	Ἀλεξανδρίνος
πλεον	G4126	V-PAP-ASN	πλέω
ενεβιβασεν	G1688	V-AAI-3S	ἐμβιβάζω
ικαναις	G2425	A-DPF	ἱκανός
βραδυπλοουντες	G1020	V-PAP-NPM	βραδυπλοέω
