ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
	121	Mat 	5	31	5	ἀλύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
	122	Mat 	5	32	8	ἀπολύσ	απολυσει	απολυση	G630	V-AAS-3S	ἀπολύω	PC	V	I	Spelling-X	PC-V-I-X	None	1	1	0	1	0	1	1
	122	Mat 	5	32	15	ποι	ποειι	ποιει	G4160	V-PAI-3S	ποιέω	PC	V	CI	Spelling-X	PC-V-CI-X	ι should precede . TR uses ποιει	1	1	0	1	1	1	1
	122	Mat 	5	32	22	γαμήσ	γαμησει	γαμηση	G1060	V-AAS-3S	γαμέω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses γαμηση	1	1	0	1	1	1	1
	124	Mat 	5	34	14		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
	125	Mat 	5	35	7		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
	125	Mat 	5	35	16		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
	126	Mat 	5	36	6	ὀμώσς	ομωσεις	ομοσης	G3660	V-AAS-2S	ὀμνύω	PC	V	CI	Spelling-X	PC-V-CI-X	None	1	1	0	1	1	1	1
	127	Mat 	5	37	12	ιὸ	παρισσον	περισσον	G4053	A-NSN	περισσός	PC	V	C	Spelling-X	PC-V-C-X	None	1	1	0	1	1	0	1
	129	Mat 	5	39	9	ἁλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
	131	Mat 	5	41	8	μεʼ	μετ'	μετ	None	None	None				None	None	None	0	0	0	0	0	0	1
	136	Mat 	5	46	9	ἔχε;	εχετε;	εχετε	G2192	V-PAI-2P	ἔχω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	136	Mat 	5	46	16	ισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	137	Mat 	5	47	10	οι;	ποιειτε;	ποιειτε	G4160	V-PAM-2P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	137	Mat 	5	47	15	ὅυτω	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
	137	Mat 	5	47	16	οισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	138	Mat 	5	48	14		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
	140	Mat 	6	2	1	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	140	Mat 	6	2	3	οις	ποιεις	ποιεις	G4160	V-PAI-2S	ποιέω							0	0	0	0	0	0	1
	140	Mat 	6	2	21	δοξῶσι	δοξσθωσιν	δοξασθωσιν	G1392	V-APS-3P	δοξάζω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
	140	Mat 	6	2	28	ἁπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
	140	Mat 	6	2	31	ἀυ	αυτου	αυτου	G846	P-GSM	αὐτός							0	0	0	0	0	0	1
	143	Mat 	6	5	24	φῶσι	φανωσιν	φανωσι	G5316	V-2APS-3P	φαίνω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
	143	Mat 	6	5	31	ἀπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
	144	Mat 	6	6	3	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	144	Mat 	6	6	8	αμον	ταμειον	ταμειον	G5009	N-NSN	ταμεῖον							0	0	0	0	0	0	1
	145	Mat 	6	7	8	δσκσιν	δσκουσιν	δοκουσι	G1380	V-PAI-3P	δοκέω	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
	146	Mat 	6	8	5	ιδε	οιδεν	οιδεν	G1492	V-RAI-3S	εἴδω							0	0	0	0	0	0	1
	147	Mat 	6	9	1	Οὕ	ουτος	ουτος	G3778	D-NSM	οὗτος							0	0	0	0	0	0	1
	147	Mat 	6	9	10	ὀαρoῖς	οαρανoις	ουρανοις	G3772	N-DPM	οὐρανός	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
	152	Mat 	6	14	3	ἀφῆι	αφηιτε	αφητε	G863	V-2AAS-2P	ἀφίημι	PC	V		Spelling-X	PC-V--X	TR uses αφητε	1	1	0	1	0	0	1
	152	Mat 	6	14	14	ἡμῶν	ημων	ημων	G2257	P-1GP	ἐγώ							0	0	0	0	0	0	1
	154	Mat 	6	16	1	ὅἂ	οτ᾽αν	οταν	G3752	CONJ	ὅταν	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
	154	Mat 	6	16	10	ἀφίζσι	αφανιζουσιν	αφανιζουσι	G853	V-PAI-3P	ἀφανίζω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
