ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Critical	Error	Variance	Context	Inflection	Resolved
102	157	Mat 	6	19	16	διορίσι	διορισσουσιν	διορυσσουσιν	G1358	V-PAI-3P	διορύσσω	PC	V		Spelling-X	PC-V--X	TR uses διορυσσουσιν	1	1	0	1	0	0	1
103	161	Mat 	6	23	12	σκοτινὸ	σκοτινον	σκοτενον	G4655	N-DSN	σκότος	PC	V		Spelling-X	PC-V--X	TR uses σκοτεινὸν	1	1	0	1	0	0	1
104	162	Mat 	6	24	17	ἀνθέζετ	ανθεζεται	ανθεξεται	G472	V-FDI-3S	ἀντέχομαι				None	---e	None	0	0	0	0	0	0	1
105	162	Mat 	6	24	27	μαμωανᾷ	μαμωανα	μαμμωνα	G3126	N-DSN	μαμμωνᾶς	P	V		Spelling-X	P-V--X	TR uses μαμμωνα	1	0	0	1	0	0	1
106	164	Mat 	6	26	15	ἀπθήκασ	απθηκας	αποθηκας	G596	N-APF	ἀποθήκη	C	E		Spelling-X	C-E--X	should be αποθηκας	0	1	1	0	0	0	1
107	164	Mat 	6	26	24	ὀυχ̓ἡμς	ουχ̓ημεις	ουχ	G3756	PRT-N	οὐ	PC			Spacing-Y	PC---Y	"end of line spacing
"	1	1	0	0	0	0	1
108	165	Mat 	6	27	7	οα	προσθηνααι	προ	None	None	None	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
109	168	Mat 	6	30	10	ἄυροιν	αυροιν	αυρ	None	None	None	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
110	168	Mat 	6	30	17	ἁμένυσι	αμφιενυσιν	αμφιεννυσιν	G294	V-PAI-3S	ἀμφιέννυμι	PC	V		Spelling-X	PC-V--X	TR uses αμφιεννυσιν	1	1	0	1	0	0	1
111	170	Mat 	6	32	6	ἐιζηετεῖ	επιζηετει	επι	None	None	None	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
112	172	Mat 	6	34	2		υν	υν	None	None	None	C	E		Spelling-X	C-E--X	None	0	1	1	0	0	0	1
113	174	Mat 	7	2	13	μειθήσε	μετριθησεται	αντιμετρηθησεται	G488	V-FPI-3S	ἀντιμετρέω	PC	V		Spelling-X	PC-V--X	TR uses ἀντιμετρηθήσεται	1	1	0	1	0	0	1
114	177	Mat 	7	5	2	ἔκϐαο	εκβαλλο	εκβαλε	G1544	V-2AAM-2S	ἐκβάλλω	PC	V	CI	Spelling-X	PC-V-CI-X	TR uses εκβαλε	1	1	0	1	1	1	1
115	177	Mat 	7	5	13	ἐκαν	εκαλλειν	εκβαλειν	G1544	V-2AAN	ἐκβάλλω	PC	V		Spelling-X	PC-V--X	εκβαλειν	1	1	0	1	0	0	1
116	178	Mat 	7	6	6	κυσι	κυσιν	κυσιν	G2965	N-DPM	κύων	P			None	P---e	None	1	0	0	0	0	0	1
117	178	Mat 	7	6	8	βάλλε	βαλλετε	βαλητε	G906	V-2AAS-2P	βάλλω	PC	V		Spelling-X	PC-V--X	TR uses βαλητε	1	1	0	1	0	0	1
118	184	Mat 	7	12	12	τως	τως	τως	None	None	None	C	E		Spacing-Y	C-E--Y	end of line spacing	0	1	1	0	0	0	1
