ID	Line	Book	Chapter	Verse	WordNum	Word	NoDiaWord	VarWord	Strong	RMAC	Lemma	VarianceForm	VarianceType	ImpactCode	ErrorCode	VarCode	Description	Preserved	Corrected	Error	Variance	Context	Inflection	Resolved
150	129	Mat 	5	39	9	ἁλλʼ	αλλ'	αλλ	G235	CONJ	ἀλλά	P	V	C	Punctuation-P	P-V-C-P	None	1	0	0	1	1	0	1
151	131	Mat 	5	41	8	μεʼ	μετ'	μετ	G3326	PREP	μετά	PC	E	I	Punctuation-P	PC-E-I-P	None	1	1	1	0	0	1	1
152	136	Mat 	5	46	9	ἔχε;	εχετε;	εχετε	G2192	V-PAI-2P	ἔχω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
153	136	Mat 	5	46	16	ισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
154	137	Mat 	5	47	10	οι;	ποιειτε;	ποιειτε	G4160	V-PAM-2P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
155	137	Mat 	5	47	15	ὅυτω	ουτως	ουτως	G3779	ADV	οὕτω							0	0	0	0	0	0	1
156	137	Mat 	5	47	16	οισι;	ποιουσιν;	ποιουσιν	G4160	V-PAI-3P	ποιέω	PC	V	C	Punctuation-P	PC-V-C-P	None	1	1	0	1	1	0	1
157	138	Mat 	5	48	14		εστιν	εστιν	G2076	V-PXI-3S	εἰμί							0	0	0	0	0	0	1
159	140	Mat 	6	2	3	οις	ποιεις	ποιεις	G4160	V-PAI-2S	ποιέω	P	V		None	P-V--	None	1	0	0	1	0	0	1
161	140	Mat 	6	2	28	ἁπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
162	140	Mat 	6	2	31	ἀυ	αυτου	αυτου	G846	P-GSM	αὐτός	P	V		None	P-V--	None	1	0	0	1	0	0	1
163	143	Mat 	6	5	24	φῶσι	φανωσιν	φανωσι	G5316	V-2APS-3P	φαίνω	PC	V	I	None	PC-V-I-e	None	1	1	0	1	0	1	1
164	143	Mat 	6	5	31	ἀπέχσι	απεχουσιν	απεχουσι	G568	V-PAI-3P	ἀπέχω	P	V	I	None	P-V-I-e	None	1	0	0	1	0	1	1
166	144	Mat 	6	6	8	αμον	ταμειον	ταμειον	G5009	N-NSN	ταμεῖον	P	V		None	P-V--	None	1	0	0	1	0	0	1
168	146	Mat 	6	8	5	ιδε	οιδεν	οιδεν	G1492	V-RAI-3S	εἴδω							0	0	0	0	0	0	1
169	147	Mat 	6	9	1	Οὕ	ουτος	ουτος	G3778	D-NSM	οὗτος	P	V		None	P-V--	None	1	0	0	1	0	0	1
171	152	Mat 	6	14	3	ἀφῆι	αφηιτε	αφητε	G863	V-2AAS-2P	ἀφίημι	PC	V		Spelling-X	PC-V--X	TR uses αφητε	1	1	0	1	0	0	1
172	152	Mat 	6	14	14	ἡμῶν	ημων	ημων	G2257	P-1GP	ἐγώ	P	V	C	Spelling-X	P-V-C-X	ὑμῶν	1	0	0	1	1	0	1
