Line	Book	Chapter	Verse
942	Mat	26	32
943	Mat	26	33
944	Mat	26	34
945	Mat	26	35
946	Mat	26	36
947	Mat	26	37
948	Mat	26	38
949	Mat	26	39
950	Mat	26	40
951	Mat	26	41
952	Mat	26	42
953	Mat	26	43
954	Mat	26	44
955	Mat	26	45
956	Mat	26	46
957	Mat	26	47
958	Mat	26	48
959	Mat	26	49
960	Mat	26	50
961	Mat	26	51
962	Mat	26	52
963	Mat	26	53
964	Mat	26	54
965	Mat	26	55
966	Mat	26	56
967	Mat	26	57
968	Mat	26	58
969	Mat	26	59
970	Mat	26	60
971	Mat	26	61
972	Mat	26	62
973	Mat	26	63
974	Mat	26	64
975	Mat	26	65
976	Mat	26	66
977	Mat	26	67
978	Mat	26	68
979	Mat	26	69
980	Mat	26	70
981	Mat	26	71
982	Mat	26	72
983	Mat	26	73
984	Mat	26	74
985	Mat	26	75
986	Mat	27	1
987	Mat	27	2
988	Mat	27	3
989	Mat	27	4
990	Mat	27	5
991	Mat	27	6
992	Mat	27	7
993	Mat	27	8
994	Mat	27	9
995	Mat	27	10
996	Mat	27	11
997	Mat	27	12
998	Mat	27	13
999	Mat	27	14
1000	Mat	27	15
1001	Mat	27	16
1002	Mat	27	17
1003	Mat	27	18
1004	Mat	27	19
1005	Mat	27	20
1006	Mat	27	21
1007	Mat	27	22
1008	Mat	27	23
1009	Mat	27	24
1010	Mat	27	25
1011	Mat	27	26
1012	Mat	27	27
1013	Mat	27	28
1014	Mat	27	29
1015	Mat	27	30
1016	Mat	27	31
1017	Mat	27	32
1018	Mat	27	33
1019	Mat	27	34
1020	Mat	27	35
1021	Mat	27	36
1022	Mat	27	37
1023	Mat	27	38
1024	Mat	27	39
1025	Mat	27	40
1026	Mat	27	41
1027	Mat	27	42
1028	Mat	27	43
1029	Mat	27	44
1030	Mat	27	45
1031	Mat	27	46
1032	Mat	27	47
1033	Mat	27	48
1034	Mat	27	49
1035	Mat	27	50
1036	Mat	27	51
1037	Mat	27	52
1038	Mat	27	53
1039	Mat	27	54
1040	Mat	27	55
1041	Mat	27	56
1042	Mat	27	57
1043	Mat	27	58
1044	Mat	27	59
1045	Mat	27	60
1046	Mat	27	61
1047	Mat	27	62
1048	Mat	27	63
1049	Mat	27	64
1050	Mat	27	65
1051	Mat	27	66
1052	Mat	28	1
1053	Mat	28	2
1054	Mat	28	3
1055	Mat	28	4
1056	Mat	28	5
1057	Mat	28	6
1058	Mat	28	7
1059	Mat	28	8
1060	Mat	28	9
1061	Mat	28	10
1062	Mat	28	11
